C-RS2,C-LS2,C-RMFG,C-LMFG,C-RInsula,C-LInsula,C-AMCC
0.267966808,0.318117333,0.138418332,0.278967792,0.269217662,-0.009722513,-0.045363785
0.025479166,0.029980489,0.189051031,0.342087932,-0.026130955,-0.142477427,0.055407609
-0.222964174,-0.113754368,0.368275483,0.313267396,0.144408459,0.107502806,-0.051255379
-0.125469686,0.003445391,0.191184403,0.4131212,-0.201081933,-0.080056046,0.010089968
0.03805659,0.085938624,0.119555063,0.258288274,-0.119524886,-0.100748306,0.005343361
-0.168963886,-0.103334527,-0.344167618,-0.022019634,-0.05223486,-0.047839202,-0.11804163
-0.410851815,-0.325343006,-0.065452235,-0.103255929,-0.090241326,-0.1697661,0.002698589
-0.230337804,-0.220802329,-0.214308436,-0.175607691,-0.179141298,0.061614022,0.019042259
0.01346047,-0.0029713,-0.03145692,0.022835625,-0.225893669,-0.054447015,-0.051701359
0.307718347,0.292923301,-0.035541623,0.07210147,0.205547396,0.138395787,-0.034182335
0.628826758,0.452795714,0.054733867,0.146815328,0.132635792,-0.095470651,0.05699415
0.374839623,0.039810518,-0.003497861,0.172470664,-0.044096,-0.195916742,-0.010052964
0.10033007,-0.430609005,0.098403286,0.006694769,-0.089102626,0.192226271,0.000437339
-0.414908178,-0.816335735,0.091566793,-0.111339146,0.104224689,-0.077763837,0.031141944
-0.076920315,-0.499909608,-0.005481543,0.033625814,0.054099758,-0.021478803,0.090221745
-0.050450188,-0.275279495,-0.011774809,0.067877,-0.003392913,0.034367149,0.122259833
0.066590253,0.237612635,-0.059049456,0.351195276,0.245237513,0.319798173,0.120641141
0.329761214,0.519713191,0.170670828,0.198710536,0.17584169,0.217551805,0.116454577
0.363552403,0.409370356,0.172477609,-0.017745781,0.103199375,0.048988404,0.054860223
0.260061609,0.378040108,0.133316157,0.047861169,-0.084121431,0.073929864,-0.092031509
0.111705503,0.205002346,-0.104359369,-0.327007473,0.097662918,0.150742546,-0.126132474
0.238983598,0.287852971,0.184005832,0.021321184,0.116313719,0.124754999,-0.155762695
0.025608446,-0.115483305,0.001560493,-0.074471641,-0.016176729,-0.204320074,-0.096063199
-0.34579477,-0.548658063,-0.087983843,-0.232744097,0.067173795,-0.1726394,-0.058956499
-0.548938513,-0.736345839,-0.069674351,-0.307902426,-0.277965419,-0.197660964,0.031374708
-0.416255038,-0.544737059,-0.111362326,-0.24611144,-0.171267141,-0.049363763,-0.019825083
-0.258009745,-0.239366175,0.011237066,-0.296387934,-0.330611443,-0.222823024,-0.05358204
-0.346014535,0.132571012,0.011648766,-0.129090981,-0.048098175,-0.000178055,-0.01219048
-0.305429096,-0.040511257,-0.240659707,-0.187214079,-0.075990526,0.012739907,-0.116339952
-0.302848875,-0.062006032,-0.11293354,-0.085547814,0.105197411,-0.066012362,-0.076721243
-0.285692069,-0.132648913,-0.180502417,-0.167991645,-0.095164805,-0.019357011,0.082114362
-0.196561917,0.017908008,-0.301986579,-0.144788308,0.1276967,-0.015999905,0.045983488
0.045168457,0.315375423,-0.374891387,-0.177452793,0.007440455,-0.127400209,0.058979216
0.372710255,0.647784911,-0.325819289,0.091040351,0.160931007,0.047795623,0.144060621
0.349698762,0.552789336,0.131285878,0.236211795,0.053842071,0.072483972,-0.021096344
0.293565335,0.501640607,0.486253977,0.323685907,0.027190811,-0.052361108,0.075392396
0.146937056,0.40034574,0.05332607,0.056401102,0.08715673,-0.030568618,-0.057909298
0.140722431,0.228822472,-0.061738007,-0.046489777,-0.146471205,-0.059209776,0.026354177
0.111014642,-0.002731067,-0.16824516,-0.06056244,-0.275652873,0.079995127,0.009706035
0.133455277,-0.168669364,-0.021616995,-0.072695461,-0.068907451,-0.033579315,0.038300359
0.152283323,-0.225629981,0.261052197,0.327397138,0.134647112,0.304233304,0.093265158
-0.147966523,-0.088787538,0.138223747,0.378696031,0.216203023,0.043546826,0.047936658
