rFFA,lFFA,rpSTS,lpSTS,rOPA,lOPA,rPPA,lPPA,rRSC,lRSC,rLOC,lLOC,rEVC,lEVC
0.021176201,0.024720756,-0.301117749,-0.427236507,-0.375934035,-0.278642418,-0.457682988,-0.251184823,-0.289192562,-0.120575421,0.277090231,0.157747016,1.102946304,1.408740499
0.229282494,0.038894443,-0.074606573,-0.572252673,-0.489504364,-0.409539796,-0.461552824,-0.401880254,-0.334594935,-0.108341673,0.739785835,0.504756383,1.486407043,1.492369119
0.301565749,0.080479387,0.237138174,-0.33573716,0.204330039,0.149926508,0.040717277,0.182613628,0.213039366,0.155348654,1.09425652,0.646416762,1.622625546,1.025647402
0.390514983,0.212361548,0.426687382,0.049584671,0.351523381,0.30304993,0.352209131,0.49723711,0.225908278,0.279269058,1.198515694,1.036139949,0.960000221,-0.473741813
0.530485201,0.175389048,0.92773542,0.239893902,0.640403955,0.333719015,0.543337557,0.532995267,0.326929219,0.176355011,1.182894577,0.905688369,0.550847938,-0.781993196
0.462802895,0.063488786,0.574640766,0.156715966,0.78784898,0.377203309,0.71263021,0.686630568,0.413042944,0.34734303,1.042849891,0.894029153,0.772419807,0.029822621
0.394325046,0.100497583,0.561692088,0.190058127,0.821762135,0.603069572,0.437080169,0.489292981,0.229153074,0.212985035,1.170900093,1.006941932,0.706598696,0.116798082
0.369126637,0.316586037,0.859214035,0.348971264,0.874504941,0.725177771,0.38446781,0.527444803,0.272041731,0.14883499,1.167631473,0.868770273,0.526398917,0.216050513
0.347391561,0.264643747,0.612580246,0.426078263,0.688261306,0.834866082,0.313820312,0.502877708,0.293472839,0.322451513,1.012101019,0.74259889,0.196908916,0.159188377
0.248075724,0.291006303,0.337330736,0.16507969,-0.065968655,0.137371766,0.157446897,0.227112947,0.160222468,0.21774146,0.633713359,0.434069428,0.285745302,0.055547522
-0.143461895,-0.232379474,-0.273496819,-0.285784423,-0.476475007,-0.081162012,0.000513278,-0.06030192,0.097563539,0.214139195,0.152029612,-0.138731818,0.679866145,0.116697164
-0.425766679,-0.323971491,-0.724657545,-0.708926199,-0.595332636,-0.500480692,-0.383472555,-0.270227598,-0.204397509,-0.173921273,-0.425404985,-0.317090543,0.388952068,-0.242067543
-0.15930481,-0.399242504,-0.812031575,-0.467326185,-0.359273235,-0.604906658,-0.399514171,-0.478571129,-0.309558992,-0.248784634,-0.323026176,-0.379541664,-0.700218498,-0.511877686
-0.674696526,-0.655194239,-0.864821907,-0.098035525,-0.904353985,-0.982001173,-0.449027963,-0.534156928,-0.302383901,-0.253205699,-1.07965254,-1.216545229,-1.367794089,-1.014842882
-0.508382192,-0.459233658,-1.012055794,-0.360354285,-0.414480223,-0.44606346,-0.132457146,-0.165051688,-0.094388908,-0.219891958,-1.407722657,-1.305650638,-0.794854411,-0.365272692
-0.345676839,-0.305254883,-0.508828863,-0.198274594,0.445870831,0.276705922,0.386269627,0.131623758,0.221837681,0.125436127,-0.962901446,-0.680812882,-0.091709917,0.14194815
-0.49000311,-0.306251476,-0.973288232,-0.424798538,0.132704512,0.049493338,0.102765011,-0.039327123,-0.037268896,-0.174129547,-0.873174916,-0.622417842,-0.181802589,-0.08778526
-0.358031089,-0.171607198,-0.342646307,-0.158738286,0.102333796,-0.049988819,-0.096440573,-0.110056231,-0.041401917,-0.196842708,-0.588601919,-0.409055226,-0.328947824,-0.416343791
0.033169644,0.123060658,0.125617433,0.235162551,-0.08259608,-0.002026077,0.062972511,0.076983978,0.187499125,0.140191608,-0.139994278,-0.066070899,-0.158355124,-0.184282572
-0.075085976,-0.015071836,0.365094543,0.317957024,0.011873778,0.142144862,0.009526834,0.118308677,0.22405197,0.178139171,-0.11649593,-0.185541573,0.025393457,0.011677325
0.103572918,0.149104217,0.470426332,0.188934292,0.03435495,0.27058555,-0.184404451,-0.001808036,0.120804656,0.27258276,0.055705952,0.125341169,-0.030073273,0.380938352
0.032553887,0.038376578,0.375018315,0.002475899,0.142878334,0.355023207,-0.12491784,-0.168910054,-0.04103297,0.05568445,0.348312491,0.336082439,0.07351045,0.573096973
-0.045133415,0.007508364,0.022829825,-0.119382755,-0.10134013,0.200173984,-0.149177602,-0.158470538,-0.174362035,-0.125707196,0.317178847,0.474937084,0.019125808,0.836814097
0.082341244,0.287047497,0.255176892,0.410523386,-0.442560426,-0.276072846,-0.266531735,-0.167085737,-0.290828489,-0.163126104,0.293932782,0.355898897,-0.875602269,0.381837902
0.066300967,0.16792595,-0.109261689,0.100452919,-0.423602273,-0.17244996,-0.27461227,-0.150059809,-0.17779474,-0.144162511,-0.239647894,-0.288465271,-0.87881564,0.191579523
0.098280349,0.247318517,0.060139853,0.218334541,-0.24544787,-0.05344708,0.050592544,-0.210015672,-0.085174367,-0.094892925,-0.048483516,-0.011585924,-0.99679365,-0.148345762
0.094073686,0.327945759,0.121705355,0.051983268,0.014955698,-0.019463937,-0.218643723,-0.35394209,-0.239142198,-0.291426991,-0.16362637,-0.037041698,-0.685789022,-0.19175583
0.073067783,0.256217713,0.313609365,0.202626867,-0.105479465,-0.166991263,-0.313629714,-0.27469574,-0.404881072,-0.398773642,0.121497013,0.211696699,-0.351290646,-0.279789276
0.079937787,0.08826517,0.055972429,0.136930086,0.006406893,0.026320257,-0.049708737,-0.070263822,0.051617176,0.174906864,-0.041355072,0.043059575,-0.02527727,-0.218346171
0.125852724,0.178230836,0.08175746,0.12799835,-0.190792837,-0.248078916,0.056354251,0.049497414,0.185982908,0.20103326,-0.201760165,-0.092880765,-0.032805655,-0.210318282
0.124756333,0.029992713,0.054166985,0.262952386,-0.6163183,-0.519059489,-0.343183603,-0.288951214,-0.163961961,-0.131986931,-0.208670082,-0.222686505,-0.437525433,-0.491202896
0.214644782,0.157665939,0.582252295,0.527003989,-0.400555552,-0.308784878,-0.316300941,-0.299955573,-0.359346868,-0.305853272,-0.033568769,0.003375388,-0.421108283,-0.546520268
0.152271006,0.015338294,0.355978287,0.366343843,-0.529212164,-0.386932261,-0.30545952,-0.36797185,-0.694019905,-0.690303582,0.028133601,-0.075647979,-0.815779001,-0.7392534
0.115969135,0.142387679,0.556103051,0.519569979,-0.326123132,-0.240407042,-0.084904073,-0.1024487,-0.298842347,-0.385954677,0.188174245,0.31227376,-0.561136947,-0.268967335
-0.079792914,-0.077999242,0.332522268,0.258550024,-0.218347972,-0.2782113,-0.047534521,-0.082624903,-0.138805623,-0.15888539,0.150261219,0.286515302,-0.383705561,-0.218832442
-0.222507991,-0.237069146,0.237169373,-0.017363248,0.529544623,0.24595604,0.347151328,0.241236354,0.426934308,0.283560766,-0.007921061,0.036401133,-0.012346967,0.053483513
-0.384130619,-0.285333938,-0.412299724,-0.336446482,1.569008729,1.031396058,0.839472112,0.842454686,0.855021249,0.770633357,-0.798485523,-0.732887705,0.23984381,-0.053837547
-0.044198802,-0.13450585,-0.099877063,-0.272353456,1.543653384,1.314368707,0.879942239,0.66031729,0.921020497,0.766033766,-0.544398116,-0.526082662,0.576661222,0.066878332
-0.115608871,-0.142925101,-0.3214871,-0.307328035,1.060481145,0.64926962,0.347333967,0.311536455,0.448428522,0.330069918,-0.497429932,-0.58859782,0.785942133,0.272660708
-0.15381925,-0.331881931,-0.79353032,-0.605412035,0.332196561,0.164304777,0.19887297,0.179997393,0.094509447,0.101415929,-0.381471205,-0.580644058,1.001767646,0.21215095
