C-RTPJ,C-LTPJ,C-PC,C-DMPFC,C-MMPFC,C-VMPFC
0.088733554,-0.000461279,0.029705037,0.135024986,0.257254219,0.008136906
-0.062913983,-0.005472568,0.047811753,-0.039301064,0.031023479,0.026163614
0.05115968,-0.134321329,0.09367208,0.135294103,0.249437071,0.180419009
-0.011576456,-0.213467796,0.057868878,0.054355561,0.079002817,-0.030161529
-0.234859173,-0.283008178,-0.027456567,0.205991145,-0.005962451,-0.1071264
-0.237660016,-0.259686426,-0.385690302,-0.321452815,-0.343138313,-0.288513591
-0.287800498,-0.01690918,-0.553869762,-0.276786344,-0.464081649,-0.48177833
0.003801398,0.132756363,-0.743665953,-0.349023982,-0.348861912,-0.165472036
-0.102547286,0.161759392,-0.632064403,-0.453092824,-0.224658247,-0.264512328
-0.033758694,0.018813648,-0.286754888,0.134332404,-0.065592025,0.048062726
-0.1420434,0.005225232,-0.153424387,-0.114011728,-0.217945676,0.03765106
-0.007418495,0.001664012,-0.023074813,-0.34317273,0.005009429,-0.112694347
0.052814207,0.095461897,0.067702934,-0.032537331,0.074349205,-0.2128617
-0.073816511,-0.006571593,0.12778747,0.004991642,-0.04285611,-0.16149603
-0.084057951,-0.083025097,0.158383379,0.039094868,-0.167856478,-0.119716842
-0.172854583,-0.165896857,-0.194580952,-0.391400388,-0.507003024,-0.11455937
-0.19873107,-0.131562688,-0.543624131,-0.263017523,-0.434918481,-0.068665723
-0.173782609,-0.145648385,-0.465565591,-0.301514325,-0.196742901,0.033261294
-0.054347577,-0.028601698,-0.395602543,-0.179389827,-0.040274996,0.013428448
0.129106761,0.147491125,0.106739945,0.125052333,0.03522502,0.065541936
0.152457185,0.128630914,0.317008815,0.420604495,0.090143583,0.309495758
0.059521245,-0.033624094,0.445538004,0.259458989,0.059087357,0.253851992
0.066584142,0.061257489,0.594460341,-0.024060153,-0.122044962,0.042301311
0.199263996,0.107946468,0.490401731,0.039800497,-0.008478079,-0.131850595
0.174235581,0.035503354,0.36251179,0.099006451,-0.188771052,-0.162987348
0.101432534,0.012202914,0.173812436,-0.172468051,0.162344671,-0.165815019
0.115073627,-0.05618477,0.157950063,-0.087911251,0.222974051,-0.003907087
0.141258064,-0.084739551,0.450755964,0.183612904,0.421276938,0.253299445
-0.047373947,-0.102195879,0.313649471,0.083203923,0.416791788,0.338882389
-0.14308438,-0.028975058,0.21875279,0.076359818,0.332255369,0.178926869
-0.009996419,0.10057181,0.080313281,0.100577681,0.262433068,0.10072177
-0.029320415,-0.018285697,0.034172734,-0.025094412,0.0668759,0.056899843
-0.086886076,-0.124981503,-0.136723447,0.079632762,-0.055582671,-0.1188934
0.068009883,-0.034223155,-0.225380828,-0.044883019,-0.209948187,-0.317222452
0.173755543,0.269229384,-0.359111288,-0.161821369,-0.150425987,-0.317691778
0.202510036,0.254636863,-0.338065666,-0.228245149,-0.085941518,-0.125908857
0.085056725,0.008274826,-0.241259931,0.040893807,0.044614773,0.153975078
-0.237810718,-0.073817118,-0.008902375,-0.01746601,-0.024974394,0.04189955
-0.17179264,-0.085494952,0.147976404,0.036998043,-0.129743475,-0.059940938
-0.129563468,-0.010283037,0.184868431,0.076739963,0.058050758,-0.053476427
0.024989257,0.095378106,0.131908372,0.310610866,0.190658291,0.05864189
0.124092823,0.064785273,-0.13586724,0.281975063,-0.240043504,-0.246784946
0.189035669,0.175868289,-0.339135329,0.21453413,-0.13361832,-0.301588046
0.262466787,0.191347433,-0.418425303,0.215738023,0.047087595,-0.03600281
0.077537227,0.143706105,-0.389133359,0.138391399,0.109597831,0.068495211
-0.157994947,-0.097704996,-0.236303234,0.075168787,0.135186555,0.18229369
-0.147761486,-0.282286329,-0.002525296,-0.045384622,0.062103467,0.058244613
-0.189716761,-0.292936659,0.155691789,-0.112253715,-0.125413859,-0.066807089
-0.208167199,-0.162672477,0.266733476,-0.105517965,-0.064323556,0.052381212
-0.098755169,-0.08629317,0.322887032,-0.017306137,-0.114018717,0.158743101
-0.240905434,-0.057312877,0.072776137,-0.121862173,-0.282326992,-0.053661778
-0.113201355,0.085362246,-0.016508804,-0.150350234,-0.187882026,0.002604758
0.055376553,0.046331819,-0.071457323,0.020963341,0.308441783,0.302168606
0.012532012,0.064703964,0.034125748,-0.029708075,0.131326106,0.199325635
-0.049444975,0.054748592,0.035685989,-0.050565885,0.314934964,0.414084962
0.005457751,0.073754656,-0.003478402,0.158566621,0.372916511,0.421788915
0.02688402,0.004030613,-0.013008722,0.146653994,0.149423709,0.054481801
-0.10629777,-0.22255598,-0.111883342,-0.039121274,-0.232471496,-0.366351559
0.024474839,-0.151605306,-0.081208179,-0.01189355,-0.417063874,-0.387678197
0.11031816,0.143359088,0.051710243,-0.278535991,-0.076307913,-0.18274436
0.132429149,0.150579207,-0.338172259,-0.160530072,-0.153524461,-0.206376936
0.044220437,0.020242462,-0.150898699,0.077774719,-0.195028822,-0.011235512
0.04350425,0.139077034,0.072819024,-0.166741487,-0.585034632,-0.438732346
0.121598866,0.214617631,0.30246396,-0.352163689,-0.204351015,-0.200793115
-0.040200007,-0.096645378,0.433513923,-0.067797185,0.223642414,0.038735173
0.100917587,-0.014678059,0.144477959,-0.027901976,0.132028278,-0.128012433
0.030557622,-0.014763915,-0.090292744,0.205658631,0.208351697,0.166044191
-0.037792263,-0.141845501,-0.119227686,0.107034258,0.33895532,0.303230231
