rFFA	lFFA	rpSTS	lpSTS	rOPA	lOPA	rPPA	lPPA	rRSC	lRSC	rLOC	lLOC	rEVC	lEVC
-0.526555666	-0.364573548	-0.509208962	0.195392967	-0.103111048	0.027685628	0.065539617	-0.088719203	0.153311566	0.116363013	-0.743328383	-0.542102047	-0.912365487	-0.778212464
-0.4054190695	-0.3899288425	-0.461099249	0.019163353	-0.0199806565	0.1200964815	0.0748888225	0.000256303999999999	0.1815839075	0.1714792855	-0.7945052585	-0.610947224	-1.01971003	-0.863592214
-0.284282473	-0.415284137	-0.412989536	-0.157066261	0.063149735	0.212507335	0.084238028	0.089231811	0.209856249	0.226595558	-0.845682134	-0.679792401	-1.127054573	-0.948971964
-0.351622426	-0.3582715515	-0.3999945055	-0.120100175	0.1702253955	0.3215886005	0.147330106	0.0996126845	0.206712792	0.245463467	-0.9195167265	-0.593415946	-0.87055252	-0.580880446
-0.418962379	-0.301258966	-0.386999475	-0.083134089	0.277301056	0.430669866	0.210422184	0.109993558	0.203569335	0.264331376	-0.993351319	-0.507039491	-0.614050467	-0.212788928
-0.2542392245	-0.137716581	-0.271099407	0.022225852	0.373293145	0.4833078045	0.3475580925	0.232439978	0.164114769	0.279741927	-0.7474630295	-0.3382550615	-0.2339202395	0.187497899
-0.08951607	0.025825804	-0.155199339	0.127585793	0.469285234	0.535945743	0.484694001	0.354886398	0.124660203	0.295152478	-0.50157474	-0.169470632	0.146209988	0.587784726
0.0376354995	0.095465099	-0.1372893125	0.149736319	0.396721796	0.5456696455	0.4094058405	0.343233572	0.060971848	0.124027507	-0.308479481	-0.0779666805	0.2869386515	0.675615314
0.164787069	0.165104394	-0.119379286	0.171886845	0.324158358	0.555393548	0.33411768	0.331580746	-0.002716507	-0.047097464	-0.115384222	0.013537271	0.427667315	0.763445902
0.1007667725	0.247059304	-0.0411266785	0.2438280495	0.210736189	0.4119947255	0.203677528	0.2190530375	-0.0768640345	-0.1212495915	0.026601255	0.023861317	0.4916567445	0.8184281495
0.036746476	0.329014214	0.037125929	0.315769254	0.09731402	0.268595903	0.073237376	0.106525329	-0.151011562	-0.195401719	0.168586732	0.034185363	0.555646174	0.873410397
0.0011205505	0.1487006065	0.056527858	0.1349649255	-0.0623824115	0.1430115475	-0.017048692	-0.0262799225	-0.141757453	-0.137283214	0.002099987	-0.092182135	0.5443847545	0.71975039
-0.034505375	-0.031613001	0.075929787	-0.045839403	-0.222078843	0.017427192	-0.10733476	-0.159085174	-0.132503344	-0.079164709	-0.164386758	-0.218549633	0.533123335	0.566090383
-0.1521335325	-0.058455528	-0.2238915225	-0.0450949315	-0.128805568	0.072954253	-0.0858669335	-0.133078154	-0.1135987475	-0.0887635775	-0.387472455	-0.2964701545	0.5563049135	0.542851153
-0.26976169	-0.085298055	-0.523712832	-0.04435046	-0.035532293	0.128481314	-0.064399107	-0.107071134	-0.094694151	-0.098362446	-0.610558152	-0.374390676	0.579486492	0.519611923
-0.1996917545	0.0144657225	-0.5216551885	0.0131526615	-0.0588409345	0.0716862285	-0.039248953	-0.0748983315	-0.0913888585	-0.1265643495	-0.702529136	-0.4188382835	0.589588256	0.605605215
-0.129621819	0.1142295	-0.519597545	0.070655783	-0.082149576	0.014891143	-0.014098799	-0.042725529	-0.088083566	-0.154766253	-0.79450012	-0.463285891	0.59969002	0.691598507
